economy,economy_code,pillar_i_overall,pillar_ii_overall,pillar_iii_overall,category_2_2_overall,topic
Chad,TCD,70.42,12.1,47.4,9.05,international_trade
Colombia,COL,80.94,44.46,36.65,27.62,international_trade
Costa Rica,CRI,75.05,79.13,67.6,38.33,international_trade
Côte d'Ivoire,CIV,77.76,48.97,26.5,20.71,international_trade
Croatia,HRV,79.36,85.12,89.7,48.33,international_trade
El Salvador,SLV,78.68,53.49,53,27.44,international_trade
Estonia,EST,81.87,83.21,91.7,37.26,international_trade
Gambia,GMB,65.25,17.54,32.95,10.71,international_trade
Georgia,GEO,77.17,56.55,96.45,26.07,international_trade
Ghana,GHA,66.85,53,48.9,11.07,international_trade
Greece,GRC,81,96.11,84,48.33,international_trade
Hong Kong SAR China,HKG,84.81,89.56,97.95,42.62,international_trade
Hungary,HUN,85.25,58.33,91.1,35.06,international_trade
Indonesia,IDN,69.41,78.13,46.2,35.83,international_trade
Iraq,IRQ,49.2,34.05,43.15,22.14,international_trade
Kyrgyz Republic,KGZ,63.48,30.62,87.85,3.93,international_trade
Lesotho,LSO,59.22,49.05,75.9,26.79,international_trade
Madagascar,MDG,67.41,48.08,49,21.25,international_trade
Mauritius,MUS,72.86,64.96,85.25,25.83,international_trade
Mexico,MEX,78.73,72.18,40.4,30.95,international_trade
Montenegro,MNE,77.69,35.75,88.15,26.43,international_trade
Morocco,MAR,76.85,70.58,79.1,37.62,international_trade
Nepal,NPL,50.65,66.67,83,25,international_trade
New Zealand,NZL,78.66,69.8,61.35,35,international_trade
North Macedonia,MKD,60.45,48.35,87.2,23.57,international_trade
Pakistan,PAK,61.01,54.82,21.3,17.38,international_trade
Paraguay,PRY,77.12,57.54,59,29.29,international_trade
Peru,PER,78.5,37.06,33.85,13.75,international_trade
Philippines,PHL,61.88,66.37,86.15,18.75,international_trade
Portugal,PRT,88.41,65.48,72.3,40,international_trade
Romania,ROM,85.82,82.38,89.2,47.14,international_trade
Rwanda,RWA,65.38,95.48,85.4,45.48,international_trade
Samoa,WSM,54.55,35.04,64.5,25,international_trade
Seychelles,SYC,65.55,54.94,63.8,27.5,international_trade
Sierra Leone,SLE,47.69,29.68,35.7,11.96,international_trade
Singapore,SGP,78.08,69.05,92.35,36.9,international_trade
